"county_areas","region","date","month","year","quarter","homicide_uns","offences_against_the_person_uns","sexual_offences_uns","burglary_uns","robbery_uns","theft_and_handling_uns","fraud_and_forgery_uns","criminal_damage_uns","drugs_offences_uns","public_order_offences_uns","all_other_offences_uns","motoring_offences_uns","admin_finalised_uns"
"Norfolk","East of England","2015-05-01","May",2015,"Q2_2015",0,44,5,4,0,13,0,4,2,14,2,6,9
"Northamptonshire","East Midlands","2015-05-01","May",2015,"Q2_2015",0,39,4,4,1,6,0,5,2,7,1,10,8
"Northumbria","North East","2015-05-01","May",2015,"Q2_2015",0,141,9,17,1,48,3,19,8,52,18,42,16
"North Wales","Cymru/Wales","2015-05-01","May",2015,"Q2_2015",0,29,6,1,1,4,3,5,1,4,1,12,5
"North Yorkshire","Yorkshire and Humberside","2015-05-01","May",2015,"Q2_2015",1,24,1,2,1,13,2,2,2,11,1,5,3
"Nottinghamshire","East Midlands","2015-05-01","May",2015,"Q2_2015",0,89,3,4,4,22,1,14,3,19,10,24,15
"South Wales","Cymru/Wales","2015-05-01","May",2015,"Q2_2015",0,89,13,7,1,19,4,8,5,25,5,61,15
"South Yorkshire","Yorkshire and Humberside","2015-05-01","May",2015,"Q2_2015",0,67,1,6,0,22,0,10,7,14,8,10,7
"Staffordshire","West Midlands","2015-05-01","May",2015,"Q2_2015",0,62,6,2,2,20,0,6,4,7,2,46,3
"Suffolk","East of England","2015-05-01","May",2015,"Q2_2015",0,31,1,1,0,2,0,4,1,2,2,20,5
"Surrey","South East","2015-05-01","May",2015,"Q2_2015",0,29,3,2,0,10,2,4,3,6,11,20,8
"Sussex","South East","2015-05-01","May",2015,"Q2_2015",0,80,19,5,2,17,2,8,3,13,9,23,27
"Thames Valley","Thames and Chiltern","2015-05-01","May",2015,"Q2_2015",0,92,27,7,3,14,1,7,11,20,14,27,19
"Warwickshire","West Midlands","2015-05-01","May",2015,"Q2_2015",0,14,3,2,0,7,1,2,1,4,1,28,6
"West Mercia","West Midlands","2015-05-01","May",2015,"Q2_2015",0,30,8,4,0,13,1,5,1,6,3,21,4
"West Midlands","West Midlands","2015-05-01","May",2015,"Q2_2015",1,156,10,18,7,53,7,8,9,17,10,54,45
"West Yorkshire","Yorkshire and Humberside","2015-05-01","May",2015,"Q2_2015",0,122,14,10,1,29,6,15,6,25,13,44,36
"Wiltshire","Oxfordshire","2015-05-01","May",2015,"Q2_2015",0,18,3,2,1,6,0,4,2,9,1,9,3
"Avon and Somerset","South West","2015-06-01","Jun",2015,"Q2_2015",0,88,30,3,3,13,0,18,6,12,5,36,32
"Bedfordshire","Thames and Chiltern","2015-06-01","Jun",2015,"Q2_2015",0,28,3,0,1,6,2,6,3,9,7,10,13
"Cambridgeshire","East of England","2015-06-01","Jun",2015,"Q2_2015",0,35,2,2,4,6,1,2,3,0,3,10,10
"Cheshire","Mersey-Cheshire","2015-06-01","Jun",2015,"Q2_2015",0,40,3,4,1,23,2,9,8,7,7,19,13
"Cleveland","North East","2015-06-01","Jun",2015,"Q2_2015",0,50,2,5,1,31,2,5,6,15,5,8,6
"Cumbria","North West","2015-06-01","Jun",2015,"Q2_2015",0,21,3,4,0,5,0,1,0,3,5,11,4
"Derbyshire","East Midlands","2015-06-01","Jun",2015,"Q2_2015",1,67,7,4,2,13,1,11,7,26,6,14,12
"Devon and Cornwall","South West","2015-06-01","Jun",2015,"Q2_2015",0,73,3,7,0,10,2,4,5,10,2,23,14
"Dorset","Oxfordshire","2015-06-01","Jun",2015,"Q2_2015",0,26,4,1,0,16,0,4,3,5,1,10,8
"Durham","North East","2015-06-01","Jun",2015,"Q2_2015",0,26,1,2,0,13,2,7,0,11,5,6,1
"Dyfed Powys","Cymru/Wales","2015-06-01","Jun",2015,"Q2_2015",0,21,2,0,0,3,0,3,2,7,1,13,2
"Essex","East of England","2015-06-01","Jun",2015,"Q2_2015",0,86,20,2,4,23,4,9,14,16,7,80,20
"Gloucestershire","South West","2015-06-01","Jun",2015,"Q2_2015",0,24,1,0,0,4,1,0,1,4,1,6,11
"GreaterManchester","North West","2015-06-01","Jun",2015,"Q2_2015",1,218,35,9,4,41,10,18,11,28,10,121,28
"Gwent","Cymru/Wales","2015-06-01","Jun",2015,"Q2_2015",1,33,4,2,1,11,0,4,1,5,1,6,4
"Hampshire","Oxfordshire","2015-06-01","Jun",2015,"Q2_2015",0,90,16,3,3,25,2,13,4,18,1,31,10
"Hertfordshire","Thames and Chiltern","2015-06-01","Jun",2015,"Q2_2015",0,71,1,4,1,24,3,10,4,11,7,41,21
"Humberside","Yorkshire and Humberside","2015-06-01","Jun",2015,"Q2_2015",0,35,13,4,0,20,1,4,5,9,8,21,11
"Kent","South East","2015-06-01","Jun",2015,"Q2_2015",0,105,12,7,5,61,2,16,7,11,14,50,26
"Lancashire","North West","2015-06-01","Jun",2015,"Q2_2015",0,88,9,8,1,23,6,9,7,24,12,38,9
"Leicestershire","East Midlands","2015-06-01","Jun",2015,"Q2_2015",1,51,9,0,2,15,1,8,3,6,8,35,17
"Lincolnshire","East Midlands","2015-06-01","Jun",2015,"Q2_2015",0,34,1,3,0,9,0,3,2,9,2,31,6
"Merseyside","Mersey-Cheshire","2015-06-01","Jun",2015,"Q2_2015",0,93,5,4,3,14,1,13,20,17,19,29,12
"Metropolitan and City","Greater London","2015-06-01","Jun",2015,"Q2_2015",14,725,59,83,41,183,55,73,86,144,117,429,198
"Norfolk","East of England","2015-06-01","Jun",2015,"Q2_2015",0,66,0,3,0,13,3,11,2,14,1,25,12
"Northamptonshire","East Midlands","2015-06-01","Jun",2015,"Q2_2015",0,38,13,6,0,15,1,7,6,11,2,19,6
"Northumbria","North East","2015-06-01","Jun",2015,"Q2_2015",0,138,9,9,4,59,4,27,10,64,16,58,8
"North Wales","Cymru/Wales","2015-06-01","Jun",2015,"Q2_2015",0,53,3,3,1,8,2,8,4,8,0,21,2
"North Yorkshire","Yorkshire and Humberside","2015-06-01","Jun",2015,"Q2_2015",1,18,0,1,1,8,3,6,5,6,2,11,13
"Nottinghamshire","East Midlands","2015-06-01","Jun",2015,"Q2_2015",0,87,7,3,2,14,1,20,8,13,11,21,23
"South Wales","Cymru/Wales","2015-06-01","Jun",2015,"Q2_2015",0,106,12,10,3,19,3,8,10,23,2,57,8
"South Yorkshire","Yorkshire and Humberside","2015-06-01","Jun",2015,"Q2_2015",0,89,1,7,2,26,4,14,3,19,2,22,11
"Staffordshire","West Midlands","2015-06-01","Jun",2015,"Q2_2015",0,62,3,8,0,10,5,10,0,10,5,53,30
"Suffolk","East of England","2015-06-01","Jun",2015,"Q2_2015",0,33,1,4,1,8,1,12,2,9,1,15,11
"Surrey","South East","2015-06-01","Jun",2015,"Q2_2015",0,50,4,1,0,12,0,10,9,5,6,7,10
"Sussex","South East","2015-06-01","Jun",2015,"Q2_2015",0,87,11,2,0,21,5,13,8,15,9,45,29
"Thames Valley","Thames and Chiltern","2015-06-01","Jun",2015,"Q2_2015",0,145,25,18,3,32,3,10,10,28,27,57,27
"Warwickshire","West Midlands","2015-06-01","Jun",2015,"Q2_2015",0,21,1,0,1,5,0,6,0,2,2,19,22
"West Mercia","West Midlands","2015-06-01","Jun",2015,"Q2_2015",0,54,5,4,2,10,1,9,0,11,0,21,18
"West Midlands","West Midlands","2015-06-01","Jun",2015,"Q2_2015",3,190,21,21,10,45,5,21,10,23,13,82,89
"West Yorkshire","Yorkshire and Humberside","2015-06-01","Jun",2015,"Q2_2015",1,187,24,17,5,42,9,25,10,34,5,85,34
"Wiltshire","Oxfordshire","2015-06-01","Jun",2015,"Q2_2015",0,16,0,3,0,1,3,4,0,7,0,7,4
"Avon and Somerset","South West","2015-07-01","Jul",2015,"Q3_2015",0,89,18,1,1,16,3,11,12,19,15,40,24
"Bedfordshire","Thames and Chiltern","2015-07-01","Jul",2015,"Q3_2015",0,26,3,2,0,5,1,6,3,9,8,7,21
"Cambridgeshire","East of England","2015-07-01","Jul",2015,"Q3_2015",0,30,2,3,5,10,1,6,3,3,7,8,20
"Cheshire","Mersey-Cheshire","2015-07-01","Jul",2015,"Q3_2015",0,44,3,4,1,13,1,5,2,14,5,15,8
"Cleveland","North East","2015-07-01","Jul",2015,"Q3_2015",0,40,7,4,3,17,0,11,2,23,7,6,6
"Cumbria","North West","2015-07-01","Jul",2015,"Q3_2015",0,18,1,2,0,6,1,1,4,2,3,15,2
"Derbyshire","East Midlands","2015-07-01","Jul",2015,"Q3_2015",0,59,3,2,3,21,4,10,5,11,6,22,16
"Devon and Cornwall","South West","2015-07-01","Jul",2015,"Q3_2015",0,53,1,0,0,9,2,6,3,16,16,22,20
"Dorset","Oxfordshire","2015-07-01","Jul",2015,"Q3_2015",0,41,5,3,0,6,0,5,2,7,1,13,15
"Durham","North East","2015-07-01","Jul",2015,"Q3_2015",0,39,10,2,0,13,1,8,0,5,2,6,3
"Dyfed Powys","Cymru/Wales","2015-07-01","Jul",2015,"Q3_2015",0,40,7,2,0,2,1,5,4,5,1,21,9
"Essex","East of England","2015-07-01","Jul",2015,"Q3_2015",0,123,17,10,12,16,5,10,9,6,13,70,41
"Gloucestershire","South West","2015-07-01","Jul",2015,"Q3_2015",0,28,0,1,0,4,0,5,1,2,4,3,7
"GreaterManchester","North West","2015-07-01","Jul",2015,"Q3_2015",1,167,35,6,7,33,5,24,19,48,15,81,34
"Gwent","Cymru/Wales","2015-07-01","Jul",2015,"Q3_2015",0,43,2,9,1,6,2,8,6,7,8,7,6
"Hampshire","Oxfordshire","2015-07-01","Jul",2015,"Q3_2015",0,77,16,5,5,26,3,11,4,15,8,46,20
"Hertfordshire","Thames and Chiltern","2015-07-01","Jul",2015,"Q3_2015",0,53,2,5,3,19,3,15,6,11,6,29,39
"Humberside","Yorkshire and Humberside","2015-07-01","Jul",2015,"Q3_2015",0,29,11,1,1,11,4,0,3,9,1,23,13
"Kent","South East","2015-07-01","Jul",2015,"Q3_2015",1,100,15,12,7,44,4,12,7,13,18,26,29
"Lancashire","North West","2015-07-01","Jul",2015,"Q3_2015",1,66,14,27,3,22,4,17,2,19,16,40,13
"Leicestershire","East Midlands","2015-07-01","Jul",2015,"Q3_2015",0,38,7,6,1,8,0,9,4,2,2,23,15
"Lincolnshire","East Midlands","2015-07-01","Jul",2015,"Q3_2015",0,36,3,1,2,3,2,4,3,6,13,19,14
"Merseyside","Mersey-Cheshire","2015-07-01","Jul",2015,"Q3_2015",1,83,10,4,1,13,6,7,7,16,5,25,15
"Metropolitan and City","Greater London","2015-07-01","Jul",2015,"Q3_2015",2,823,88,72,56,206,48,77,93,142,108,456,287
"Norfolk","East of England","2015-07-01","Jul",2015,"Q3_2015",0,56,1,2,1,7,1,11,4,10,2,14,5
"Northamptonshire","East Midlands","2015-07-01","Jul",2015,"Q3_2015",0,32,4,4,1,7,0,5,4,7,2,16,17
"Northumbria","North East","2015-07-01","Jul",2015,"Q3_2015",0,120,14,5,0,51,10,29,5,52,9,50,21
"North Wales","Cymru/Wales","2015-07-01","Jul",2015,"Q3_2015",0,57,6,6,3,9,2,9,3,8,1,18,4
"North Yorkshire","Yorkshire and Humberside","2015-07-01","Jul",2015,"Q3_2015",0,24,1,2,1,9,1,6,2,7,0,15,6
"Nottinghamshire","East Midlands","2015-07-01","Jul",2015,"Q3_2015",2,88,3,8,2,24,2,11,3,46,23,16,22
"South Wales","Cymru/Wales","2015-07-01","Jul",2015,"Q3_2015",0,139,17,8,2,23,6,10,9,28,2,52,18
"South Yorkshire","Yorkshire and Humberside","2015-07-01","Jul",2015,"Q3_2015",2,65,3,2,0,21,1,6,5,13,4,30,14
"Staffordshire","West Midlands","2015-07-01","Jul",2015,"Q3_2015",1,54,5,8,1,13,5,4,6,7,6,43,31
"Suffolk","East of England","2015-07-01","Jul",2015,"Q3_2015",0,39,0,3,0,8,1,4,1,5,2,16,4
"Surrey","South East","2015-07-01","Jul",2015,"Q3_2015",0,73,9,1,0,8,2,3,4,6,3,23,12
"Sussex","South East","2015-07-01","Jul",2015,"Q3_2015",0,91,11,6,3,24,2,8,5,25,5,26,23
"Thames Valley","Thames and Chiltern","2015-07-01","Jul",2015,"Q3_2015",1,109,32,11,4,28,6,10,8,23,13,26,29
"Warwickshire","West Midlands","2015-07-01","Jul",2015,"Q3_2015",0,13,1,1,0,5,1,3,1,4,2,19,6
"West Mercia","West Midlands","2015-07-01","Jul",2015,"Q3_2015",0,53,9,3,0,11,1,7,1,6,2,36,17
"West Midlands","West Midlands","2015-07-01","Jul",2015,"Q3_2015",3,219,17,17,6,58,1,30,15,34,17,94,104
"West Yorkshire","Yorkshire and Humberside","2015-07-01","Jul",2015,"Q3_2015",1,158,21,16,7,24,6,16,11,30,5,59,37
"Wiltshire","Oxfordshire","2015-07-01","Jul",2015,"Q3_2015",0,12,3,1,1,7,1,4,3,4,1,9,4
"Avon and Somerset","South West","2015-08-01","Aug",2015,"Q3_2015",0,87,21,3,6,18,2,9,3,10,5,29,32
"Bedfordshire","Thames and Chiltern","2015-08-01","Aug",2015,"Q3_2015",0,29,1,1,1,9,1,1,1,1,3,9,17
"Cambridgeshire","East of England","2015-08-01","Aug",2015,"Q3_2015",0,15,3,0,0,7,2,2,0,3,0,10,12
"Cheshire","Mersey-Cheshire","2015-08-01","Aug",2015,"Q3_2015",0,48,8,2,0,8,0,7,2,8,0,33,5
"Cleveland","North East","2015-08-01","Aug",2015,"Q3_2015",0,29,8,5,0,16,6,2,1,12,8,6,9
"Cumbria","North West","2015-08-01","Aug",2015,"Q3_2015",0,12,3,0,0,5,0,3,1,3,1,5,3
"Derbyshire","East Midlands","2015-08-01","Aug",2015,"Q3_2015",0,48,1,2,2,22,1,12,1,11,7,10,17
"Devon and Cornwall","South West","2015-08-01","Aug",2015,"Q3_2015",1,58,4,3,3,7,3,11,2,11,23,16,13
"Dorset","Oxfordshire","2015-08-01","Aug",2015,"Q3_2015",0,23,3,1,0,3,0,7,4,4,2,15,13
"Durham","North East","2015-08-01","Aug",2015,"Q3_2015",0,20,2,2,0,10,2,6,0,8,6,11,5
"Dyfed Powys","Cymru/Wales","2015-08-01","Aug",2015,"Q3_2015",0,31,3,0,0,7,0,4,4,5,1,15,7
"Essex","East of England","2015-08-01","Aug",2015,"Q3_2015",0,64,11,4,1,10,3,3,6,7,8,36,13
"Gloucestershire","South West","2015-08-01","Aug",2015,"Q3_2015",0,27,0,4,0,4,1,5,0,2,0,5,7
"GreaterManchester","North West","2015-08-01","Aug",2015,"Q3_2015",0,125,21,4,5,21,7,10,12,19,16,73,42
"Gwent","Cymru/Wales","2015-08-01","Aug",2015,"Q3_2015",0,32,2,2,0,7,1,8,0,12,0,6,3
"Hampshire","Oxfordshire","2015-08-01","Aug",2015,"Q3_2015",0,73,22,0,1,21,7,8,11,10,7,39,12
"Hertfordshire","Thames and Chiltern","2015-08-01","Aug",2015,"Q3_2015",0,47,2,5,0,18,3,5,1,6,6,18,15
"Humberside","Yorkshire and Humberside","2015-08-01","Aug",2015,"Q3_2015",0,33,14,4,3,8,2,2,4,7,0,14,2
"Kent","South East","2015-08-01","Aug",2015,"Q3_2015",0,76,7,0,1,32,4,8,5,21,9,29,24
"Lancashire","North West","2015-08-01","Aug",2015,"Q3_2015",0,85,10,4,4,12,4,15,8,17,9,55,15
"Leicestershire","East Midlands","2015-08-01","Aug",2015,"Q3_2015",0,40,7,6,0,9,1,5,9,6,2,32,12
"Lincolnshire","East Midlands","2015-08-01","Aug",2015,"Q3_2015",1,32,1,3,0,13,2,4,4,7,3,34,10
"Merseyside","Mersey-Cheshire","2015-08-01","Aug",2015,"Q3_2015",0,70,9,3,5,11,5,8,11,22,6,13,13
"Metropolitan and City","Greater London","2015-08-01","Aug",2015,"Q3_2015",11,740,51,38,30,165,27,78,54,122,94,438,212
"Norfolk","East of England","2015-08-01","Aug",2015,"Q3_2015",0,54,1,5,0,4,0,6,4,14,8,20,11
"Northamptonshire","East Midlands","2015-08-01","Aug",2015,"Q3_2015",0,45,9,7,1,24,4,9,0,11,2,25,11
"Northumbria","North East","2015-08-01","Aug",2015,"Q3_2015",0,103,16,13,5,30,1,25,5,36,7,51,11
"North Wales","Cymru/Wales","2015-08-01","Aug",2015,"Q3_2015",0,39,10,1,0,12,3,5,4,2,1,12,3
"North Yorkshire","Yorkshire and Humberside","2015-08-01","Aug",2015,"Q3_2015",1,20,1,2,3,5,0,1,1,11,0,8,6
"Nottinghamshire","East Midlands","2015-08-01","Aug",2015,"Q3_2015",0,82,5,7,1,36,8,11,8,22,12,23,11
"South Wales","Cymru/Wales","2015-08-01","Aug",2015,"Q3_2015",0,104,13,7,7,14,1,10,3,24,3,69,14
"South Yorkshire","Yorkshire and Humberside","2015-08-01","Aug",2015,"Q3_2015",0,77,4,6,1,20,0,15,2,14,2,22,17
"Staffordshire","West Midlands","2015-08-01","Aug",2015,"Q3_2015",0,29,2,7,0,12,0,6,3,6,6,45,15
"Suffolk","East of England","2015-08-01","Aug",2015,"Q3_2015",0,31,0,0,0,7,0,4,1,7,1,5,4
"Surrey","South East","2015-08-01","Aug",2015,"Q3_2015",0,50,0,2,0,12,1,2,1,11,3,12,12
"Sussex","South East","2015-08-01","Aug",2015,"Q3_2015",0,69,10,4,3,7,4,4,7,11,6,17,22
"Thames Valley","Thames and Chiltern","2015-08-01","Aug",2015,"Q3_2015",0,104,22,8,9,26,2,7,13,22,9,24,24
"Warwickshire","West Midlands","2015-08-01","Aug",2015,"Q3_2015",0,21,2,0,1,9,3,0,1,4,2,5,1
"West Mercia","West Midlands","2015-08-01","Aug",2015,"Q3_2015",1,46,3,3,1,6,3,2,4,4,4,17,9
"West Midlands","West Midlands","2015-08-01","Aug",2015,"Q3_2015",1,185,17,14,13,51,6,20,16,39,11,76,46
"West Yorkshire","Yorkshire and Humberside","2015-08-01","Aug",2015,"Q3_2015",6,131,23,11,5,32,6,10,12,22,4,46,45
"Wiltshire","Oxfordshire","2015-08-01","Aug",2015,"Q3_2015",0,18,4,1,0,13,1,3,1,8,0,4,6
"Avon and Somerset","South West","2015-09-01","Sep",2015,"Q3_2015",0,85,14,6,1,18,0,18,2,11,16,67,37
"Bedfordshire","Thames and Chiltern","2015-09-01","Sep",2015,"Q3_2015",0,24,0,2,3,6,2,6,5,3,3,8,21
"Cambridgeshire","East of England","2015-09-01","Sep",2015,"Q3_2015",0,27,0,4,1,8,1,4,1,5,6,5,10
"Cheshire","Mersey-Cheshire","2015-09-01","Sep",2015,"Q3_2015",0,58,10,8,1,7,2,6,7,7,1,23,11
"Cleveland","North East","2015-09-01","Sep",2015,"Q3_2015",1,52,2,8,1,21,0,6,2,16,7,9,12
"Cumbria","North West","2015-09-01","Sep",2015,"Q3_2015",0,17,1,0,0,4,1,3,1,3,0,11,0
"Derbyshire","East Midlands","2015-09-01","Sep",2015,"Q3_2015",0,54,2,2,1,24,3,11,4,5,3,13,11
"Devon and Cornwall","South West","2015-09-01","Sep",2015,"Q3_2015",1,57,1,5,4,12,5,8,9,15,22,22,17
"Dorset","Oxfordshire","2015-09-01","Sep",2015,"Q3_2015",0,37,5,3,1,11,1,5,0,8,3,14,16
"Durham","North East","2015-09-01","Sep",2015,"Q3_2015",0,40,2,8,0,13,2,13,1,5,4,5,5
"Dyfed Powys","Cymru/Wales","2015-09-01","Sep",2015,"Q3_2015",1,30,2,3,0,8,0,3,4,5,0,18,3
"Essex","East of England","2015-09-01","Sep",2015,"Q3_2015",2,141,24,11,3,24,1,10,6,14,4,84,16
"Gloucestershire","South West","2015-09-01","Sep",2015,"Q3_2015",0,30,1,4,0,4,1,3,2,4,5,6,3
"GreaterManchester","North West","2015-09-01","Sep",2015,"Q3_2015",0,161,24,11,20,17,6,11,12,32,12,75,63
"Gwent","Cymru/Wales","2015-09-01","Sep",2015,"Q3_2015",0,25,2,1,2,6,1,2,2,8,0,4,3
"Hampshire","Oxfordshire","2015-09-01","Sep",2015,"Q3_2015",0,65,19,4,1,23,2,8,5,16,2,36,15
"Hertfordshire","Thames and Chiltern","2015-09-01","Sep",2015,"Q3_2015",0,73,2,5,7,24,1,6,2,5,5,43,17
"Humberside","Yorkshire and Humberside","2015-09-01","Sep",2015,"Q3_2015",0,30,17,1,1,7,1,8,1,4,1,29,9
"Kent","South East","2015-09-01","Sep",2015,"Q3_2015",3,68,12,9,4,31,2,11,5,14,12,28,55
"Lancashire","North West","2015-09-01","Sep",2015,"Q3_2015",0,77,10,7,2,12,2,9,9,15,12,52,22
"Leicestershire","East Midlands","2015-09-01","Sep",2015,"Q3_2015",0,35,3,4,2,14,2,5,9,8,3,38,10
"Lincolnshire","East Midlands","2015-09-01","Sep",2015,"Q3_2015",1,24,1,1,1,7,4,3,2,2,4,23,6
"Merseyside","Mersey-Cheshire","2015-09-01","Sep",2015,"Q3_2015",1,108,8,3,3,14,3,5,14,23,18,33,8
"Metropolitan and City","Greater London","2015-09-01","Sep",2015,"Q3_2015",2,766,76,48,37,152,40,57,70,128,120,491,253
"Norfolk","East of England","2015-09-01","Sep",2015,"Q3_2015",0,73,0,0,2,6,0,10,0,10,0,16,7
"Northamptonshire","East Midlands","2015-09-01","Sep",2015,"Q3_2015",0,55,3,2,3,17,5,5,0,9,0,30,12
"Northumbria","North East","2015-09-01","Sep",2015,"Q3_2015",1,103,6,11,3,34,3,23,6,37,11,53,34
"North Wales","Cymru/Wales","2015-09-01","Sep",2015,"Q3_2015",0,41,3,2,0,6,3,7,5,5,1,25,6
"North Yorkshire","Yorkshire and Humberside","2015-09-01","Sep",2015,"Q3_2015",1,25,1,5,0,7,1,8,3,6,2,11,4
"Nottinghamshire","East Midlands","2015-09-01","Sep",2015,"Q3_2015",8,77,4,6,2,31,2,11,9,13,10,33,20
"South Wales","Cymru/Wales","2015-09-01","Sep",2015,"Q3_2015",0,93,10,13,3,15,0,14,9,27,0,40,17
"South Yorkshire","Yorkshire and Humberside","2015-09-01","Sep",2015,"Q3_2015",0,79,3,1,4,25,6,20,7,15,7,21,17
"Staffordshire","West Midlands","2015-09-01","Sep",2015,"Q3_2015",0,62,9,6,4,14,2,7,4,13,8,49,8
"Suffolk","East of England","2015-09-01","Sep",2015,"Q3_2015",0,26,1,1,0,4,0,5,3,8,3,10,10
"Surrey","South East","2015-09-01","Sep",2015,"Q3_2015",0,43,4,7,0,4,0,6,9,5,3,17,11
"Sussex","South East","2015-09-01","Sep",2015,"Q3_2015",0,76,13,4,1,22,5,4,8,19,5,32,26
"Thames Valley","Thames and Chiltern","2015-09-01","Sep",2015,"Q3_2015",0,149,18,11,6,39,5,16,12,30,16,51,24
"Warwickshire","West Midlands","2015-09-01","Sep",2015,"Q3_2015",0,22,2,0,0,6,0,2,1,2,4,8,11
"West Mercia","West Midlands","2015-09-01","Sep",2015,"Q3_2015",0,52,14,1,0,19,2,8,3,7,8,34,8
"West Midlands","West Midlands","2015-09-01","Sep",2015,"Q3_2015",0,175,19,13,13,67,14,23,16,47,23,91,50
"West Yorkshire","Yorkshire and Humberside","2015-09-01","Sep",2015,"Q3_2015",1,177,25,16,3,40,9,19,20,30,16,60,33
"Wiltshire","Oxfordshire","2015-09-01","Sep",2015,"Q3_2015",0,31,3,3,0,2,3,4,0,8,1,7,6
"Avon and Somerset","South West","2015-10-01","Oct",2015,"Q4_2015",1,92,15,5,0,15,6,8,7,17,3,32,45
"Bedfordshire","Thames and Chiltern","2015-10-01","Oct",2015,"Q4_2015",0,32,2,2,1,8,0,6,0,4,3,7,11
"Cambridgeshire","East of England","2015-10-01","Oct",2015,"Q4_2015",0,33,1,0,2,6,1,2,4,3,0,16,8
"Cheshire","Mersey-Cheshire","2015-10-01","Oct",2015,"Q4_2015",0,51,6,9,0,18,0,7,5,11,4,36,2
"Cleveland","North East","2015-10-01","Oct",2015,"Q4_2015",0,49,4,11,0,20,2,13,9,17,1,9,13
"Cumbria","North West","2015-10-01","Oct",2015,"Q4_2015",0,17,2,0,0,0,0,1,0,2,0,10,1
"Derbyshire","East Midlands","2015-10-01","Oct",2015,"Q4_2015",0,56,6,4,1,22,0,15,6,17,1,12,20
"Devon and Cornwall","South West","2015-10-01","Oct",2015,"Q4_2015",0,73,0,7,1,10,9,8,4,25,0,26,21
"Dorset","Oxfordshire","2015-10-01","Oct",2015,"Q4_2015",1,32,6,3,2,11,0,7,0,8,1,9,10
"Durham","North East","2015-10-01","Oct",2015,"Q4_2015",0,51,8,4,0,11,1,6,0,11,2,9,3
"Dyfed Powys","Cymru/Wales","2015-10-01","Oct",2015,"Q4_2015",0,27,5,0,1,4,0,10,8,5,1,20,7
"Essex","East of England","2015-10-01","Oct",2015,"Q4_2015",1,113,17,3,3,28,4,5,10,5,7,89,24
"Gloucestershire","South West","2015-10-01","Oct",2015,"Q4_2015",0,26,0,0,0,4,1,3,1,2,0,4,4
"GreaterManchester","North West","2015-10-01","Oct",2015,"Q4_2015",2,139,20,4,6,17,15,10,10,17,6,73,46
"Gwent","Cymru/Wales","2015-10-01","Oct",2015,"Q4_2015",0,28,6,0,0,4,0,3,3,4,0,8,7
"Hampshire","Oxfordshire","2015-10-01","Oct",2015,"Q4_2015",1,81,12,5,0,27,2,10,5,12,9,34,23
"Hertfordshire","Thames and Chiltern","2015-10-01","Oct",2015,"Q4_2015",0,32,0,4,1,10,0,3,3,8,0,12,12
"Humberside","Yorkshire and Humberside","2015-10-01","Oct",2015,"Q4_2015",0,27,11,2,0,5,0,3,3,7,3,21,17
"Kent","South East","2015-10-01","Oct",2015,"Q4_2015",2,69,7,4,0,45,1,19,10,8,6,26,32
"Lancashire","North West","2015-10-01","Oct",2015,"Q4_2015",0,91,6,5,7,17,2,10,4,17,0,54,15
"Leicestershire","East Midlands","2015-10-01","Oct",2015,"Q4_2015",0,47,4,7,1,17,1,9,2,18,4,23,13
"Lincolnshire","East Midlands","2015-10-01","Oct",2015,"Q4_2015",0,27,4,2,1,14,0,3,2,12,5,45,7
"Merseyside","Mersey-Cheshire","2015-10-01","Oct",2015,"Q4_2015",0,84,5,4,1,9,2,12,6,20,11,31,12
"Metropolitan and City","Greater London","2015-10-01","Oct",2015,"Q4_2015",5,862,76,49,31,207,58,79,94,154,51,450,251
"Norfolk","East of England","2015-10-01","Oct",2015,"Q4_2015",0,55,0,4,0,14,0,10,7,14,0,17,9
"Northamptonshire","East Midlands","2015-10-01","Oct",2015,"Q4_2015",0,48,5,1,0,12,1,9,1,13,3,11,20
"Northumbria","North East","2015-10-01","Oct",2015,"Q4_2015",0,117,7,5,2,49,12,23,11,40,5,49,18
"North Wales","Cymru/Wales","2015-10-01","Oct",2015,"Q4_2015",0,35,6,3,0,17,2,4,0,5,0,17,6
"North Yorkshire","Yorkshire and Humberside","2015-10-01","Oct",2015,"Q4_2015",0,25,1,2,0,6,0,2,2,5,2,5,9
"Nottinghamshire","East Midlands","2015-10-01","Oct",2015,"Q4_2015",1,122,3,13,2,29,1,14,8,17,4,20,15
"South Wales","Cymru/Wales","2015-10-01","Oct",2015,"Q4_2015",0,81,6,6,0,16,0,6,8,22,1,51,11
"South Yorkshire","Yorkshire and Humberside","2015-10-01","Oct",2015,"Q4_2015",0,74,1,8,3,9,2,24,8,16,3,22,24
"Staffordshire","West Midlands","2015-10-01","Oct",2015,"Q4_2015",2,74,4,5,2,18,0,7,8,10,4,61,12
"Suffolk","East of England","2015-10-01","Oct",2015,"Q4_2015",0,34,1,1,0,10,1,2,1,7,0,14,6
"Surrey","South East","2015-10-01","Oct",2015,"Q4_2015",0,39,6,7,1,5,1,6,7,6,0,12,15
"Sussex","South East","2015-10-01","Oct",2015,"Q4_2015",0,85,16,3,0,13,2,6,11,13,0,26,22
"Thames Valley","Thames and Chiltern","2015-10-01","Oct",2015,"Q4_2015",1,128,19,12,12,23,5,15,16,22,10,46,35
